ISO3,Year,Indicator
SVK,1991,PV.EST
SVN,1991,PV.EST
SWE,1991,PV.EST
AUT,1992,PV.EST
BEL,1992,PV.EST
BGR,1992,PV.EST
CYP,1992,PV.EST
CZE,1992,PV.EST
DEU,1992,PV.EST
DNK,1992,PV.EST
ESP,1992,PV.EST
EST,1992,PV.EST
FIN,1992,PV.EST
FRA,1992,PV.EST
GRC,1992,PV.EST
HRV,1992,PV.EST
HUN,1992,PV.EST
IRL,1992,PV.EST
ITA,1992,PV.EST
LTU,1992,PV.EST
LUX,1992,PV.EST
LVA,1992,PV.EST
MLT,1992,PV.EST
NLD,1992,PV.EST
POL,1992,PV.EST
PRT,1992,PV.EST
ROU,1992,PV.EST
SVK,1992,PV.EST
SVN,1992,PV.EST
SWE,1992,PV.EST
AUT,1993,PV.EST
BEL,1993,PV.EST
BGR,1993,PV.EST
CYP,1993,PV.EST
CZE,1993,PV.EST
DEU,1993,PV.EST
DNK,1993,PV.EST
ESP,1993,PV.EST
EST,1993,PV.EST
FIN,1993,PV.EST
FRA,1993,PV.EST
GRC,1993,PV.EST
HRV,1993,PV.EST
HUN,1993,PV.EST
IRL,1993,PV.EST
ITA,1993,PV.EST
LTU,1993,PV.EST
LUX,1993,PV.EST
LVA,1993,PV.EST
MLT,1993,PV.EST
NLD,1993,PV.EST
POL,1993,PV.EST
PRT,1993,PV.EST
ROU,1993,PV.EST
SVK,1993,PV.EST
SVN,1993,PV.EST
SWE,1993,PV.EST
AUT,1994,PV.EST
BEL,1994,PV.EST
BGR,1994,PV.EST
CYP,1994,PV.EST
CZE,1994,PV.EST
DEU,1994,PV.EST
DNK,1994,PV.EST
ESP,1994,PV.EST
EST,1994,PV.EST
FIN,1994,PV.EST
FRA,1994,PV.EST
GRC,1994,PV.EST
HRV,1994,PV.EST
HUN,1994,PV.EST
IRL,1994,PV.EST
ITA,1994,PV.EST
LTU,1994,PV.EST
LUX,1994,PV.EST
LVA,1994,PV.EST
MLT,1994,PV.EST
NLD,1994,PV.EST
POL,1994,PV.EST
PRT,1994,PV.EST
ROU,1994,PV.EST
SVK,1994,PV.EST
SVN,1994,PV.EST
SWE,1994,PV.EST
AUT,1995,PV.EST
BEL,1995,PV.EST
BGR,1995,PV.EST
CYP,1995,PV.EST
CZE,1995,PV.EST
DEU,1995,PV.EST
DNK,1995,PV.EST
ESP,1995,PV.EST
EST,1995,PV.EST
FIN,1995,PV.EST
FRA,1995,PV.EST
GRC,1995,PV.EST
HRV,1995,PV.EST
HUN,1995,PV.EST
IRL,1995,PV.EST
ITA,1995,PV.EST
LTU,1995,PV.EST
LUX,1995,PV.EST
LVA,1995,PV.EST
MLT,1995,PV.EST
NLD,1995,PV.EST
POL,1995,PV.EST
PRT,1995,PV.EST
ROU,1995,PV.EST
SVK,1995,PV.EST
SVN,1995,PV.EST
SWE,1995,PV.EST
MLT,1996,PV.EST
AUT,1997,PV.EST
BEL,1997,PV.EST
BGR,1997,PV.EST
CYP,1997,PV.EST
CZE,1997,PV.EST
DEU,1997,PV.EST
DNK,1997,PV.EST
ESP,1997,PV.EST
EST,1997,PV.EST
FIN,1997,PV.EST
FRA,1997,PV.EST
GRC,1997,PV.EST
HRV,1997,PV.EST
HUN,1997,PV.EST
IRL,1997,PV.EST
ITA,1997,PV.EST
LTU,1997,PV.EST
LUX,1997,PV.EST
LVA,1997,PV.EST
MLT,1997,PV.EST
NLD,1997,PV.EST
POL,1997,PV.EST
PRT,1997,PV.EST
ROU,1997,PV.EST
SVK,1997,PV.EST
SVN,1997,PV.EST
SWE,1997,PV.EST
MLT,1998,PV.EST
AUT,1999,PV.EST
BEL,1999,PV.EST
BGR,1999,PV.EST
CYP,1999,PV.EST
CZE,1999,PV.EST
DEU,1999,PV.EST
DNK,1999,PV.EST
ESP,1999,PV.EST
EST,1999,PV.EST
FIN,1999,PV.EST
FRA,1999,PV.EST
GRC,1999,PV.EST
HRV,1999,PV.EST
HUN,1999,PV.EST
IRL,1999,PV.EST
ITA,1999,PV.EST
LTU,1999,PV.EST
LUX,1999,PV.EST
LVA,1999,PV.EST
MLT,1999,PV.EST
NLD,1999,PV.EST
POL,1999,PV.EST
PRT,1999,PV.EST
ROU,1999,PV.EST
SVK,1999,PV.EST
SVN,1999,PV.EST
SWE,1999,PV.EST
MLT,2000,PV.EST
AUT,2001,PV.EST
BEL,2001,PV.EST
BGR,2001,PV.EST
CYP,2001,PV.EST
CZE,2001,PV.EST
DEU,2001,PV.EST
DNK,2001,PV.EST
ESP,2001,PV.EST
EST,2001,PV.EST
FIN,2001,PV.EST
FRA,2001,PV.EST
GRC,2001,PV.EST
HRV,2001,PV.EST
HUN,2001,PV.EST
IRL,2001,PV.EST
ITA,2001,PV.EST
LTU,2001,PV.EST
LUX,2001,PV.EST
LVA,2001,PV.EST
MLT,2001,PV.EST
NLD,2001,PV.EST
POL,2001,PV.EST
PRT,2001,PV.EST
ROU,2001,PV.EST
SVK,2001,PV.EST
SVN,2001,PV.EST
SWE,2001,PV.EST
MLT,2002,PV.EST
MLT,2003,PV.EST
MLT,2004,PV.EST
MLT,2005,PV.EST
MLT,2006,PV.EST
MLT,2007,PV.EST
MLT,2008,PV.EST
MLT,2009,PV.EST
MLT,2010,PV.EST
MLT,2011,PV.EST
MLT,2012,PV.EST
MLT,2013,PV.EST
MLT,2014,PV.EST
MLT,2015,PV.EST
MLT,2016,PV.EST
MLT,2017,PV.EST
MLT,2018,PV.EST
MLT,2019,PV.EST
MLT,2020,PV.EST
MLT,2021,PV.EST
MLT,2022,PV.EST
AUT,1990,VA.EST
BEL,1990,VA.EST
BGR,1990,VA.EST
CYP,1990,VA.EST
CZE,1990,VA.EST
DEU,1990,VA.EST
DNK,1990,VA.EST
ESP,1990,VA.EST
EST,1990,VA.EST
FIN,1990,VA.EST
FRA,1990,VA.EST
